year,org,ein,class,group_id_guess,name,new_group_id,remove,final_id
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_21,JOHN SKAR,,,04-2121305_21
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_21,JOHN SKAR,,,04-2121305_21
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDRICK C HARWOOD,,,04-2121305_22
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2007,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2006,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,FREDERICK C HARWOOD,,,04-2121305_22
2004,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,Mr. Frederick C. Harwood,,,04-2121305_22
2002,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,Mr Frederick C. Harwood,,,04-2121305_22
2001,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,MR. FREDERICK C. HARWOOD,,,04-2121305_22
2000,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,MR. FREDERICK C. HARWOOD,,,04-2121305_22
1999,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,MR. FREDERICK C. HARWOOD,,,04-2121305_22
1998,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_22,MR. FREDERICK C. HARWOOD,,,04-2121305_22
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
