org,year,name,position,normalized_name,first,last,middle
CHASE FOUNDATION OF VIRGINIA,2018,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2018,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2017,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2017,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2017,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2017,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2017,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2017,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2017,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2017,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2016,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2016,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2016,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2016,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2016,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2016,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2016,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2016,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2015,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2015,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2015,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2015,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2015,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2015,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2015,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2015,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2014,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2014,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2014,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2014,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2014,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2014,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2014,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2014,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2013,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2013,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2013,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2013,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2013,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2013,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2013,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2013,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2012,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2012,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2012,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2012,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2012,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2012,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2012,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2012,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2011,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2011,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2011,Stuart F Chase,"Vice-President, Treasurer",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2011,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2011,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2011,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2011,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2011,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2010,Derwood S Chase Jr,President and trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2010,Johanna B Chase,Secretary and trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2010,Stuart F Chase,"Vice-President, Treasurer & trustee",STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2010,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2010,Cheryl O Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2010,Alejandro A Chafuen PhD,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2010,John C Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2010,Walter E Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2009,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2009,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2009,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2009,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2009,Cheryl O. Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2009,"Alejandro A. Chafuen, Ph.D.",Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2009,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2009,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2008,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2008,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2008,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2008,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2008,Cheryl O. Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2008,"Alejandro A. Chafuen, Ph.D.",Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2008,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2008,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2007,"Alejandro A. Chafuen, Ph.D.",Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2007,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2007,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2007,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2007,Stephen Moore,Regular Trustee,STEPHEN MOORE,STEPHEN,MOORE,
CHASE FOUNDATION OF VIRGINIA,2007,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2007,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2007,Cheryl O. Chase,Regular Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2006,Gabriela C. Chase,Advisory Trustee,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2006,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2006,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2006,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2006,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2006,Alejandro A. Chafuen,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2006,Cheryl O. Chase,Advisory Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2006,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2005,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2005,Alejandro A. Chafuen,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2005,Cheryl O. Chase,Advisory Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2005,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2005,Gabriela C. Chase,Advisory Trustee,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2005,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2005,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2005,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2004,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2004,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2004,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2004,Cheryl O. Chase,Advisory Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2004,Alejandro A. Chafuen,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2004,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2004,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2004,Gabriela C. Chase,Advisory Trustee,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2003,Alejandro A. Chafuen,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2003,Gabriela C. Chase,Advisory Trustee,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2003,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2003,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2003,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2003,Cheryl O. Chase,Advisory Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2003,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2003,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2002,Cheryl O. Chase,Advisory Trustee,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2002,"Derwood S. Chase, Jr.",Regular Trustee,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2002,John C. Goodman,Regular Trustee,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2002,Johanna B. Chase,Regular Trustee,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2002,Walter E. Williams,Regular Trustee,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2002,Stuart F. Chase,Regular Trustee,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2002,Alejandro A. Chafuen,Regular Trustee,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2002,Gabriela C. Chase,Advisory Trustee,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2001,JOHANNA B. CHASE,REGULAR TRUSTEE,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2001,GABRIELA C. CHASE,ADVISORY TRUSTEE,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2001,WALTER E. WILLIAMS,REGULAR TRUSTEE,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2001,ALEJANDRO A. CHAFUEN,REGULAR TRUSTEE,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2001,STUART F. CHASE,REGULAR TRUSTEE,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2001,"DERWOOD S. CHASE, JR.",REGULAR TRUSTEE,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2001,JOHN C. GOODMAN,REGULAR TRUSTEE,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2001,CHERYL O. CHASE,ADVISORY TRUSTEE,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,2000,STUART F. CHASE,REGULAR TRUSTEE,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,2000,WALTER E. WILLIAMS,REGULAR TRUSTEE,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,2000,JOHANNA B. CHASE,REGULAR TRUSTEE,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,2000,JOHN C. GOODMAN,REGULAR TRUSTEE,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,2000,ALEJANDRO A. CHAFUEN,REGULAR TRUSTEE,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,2000,"DERWOOD S. CHASE, JR.",REGULAR TRUSTEE,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,2000,GABRIELA C. CHASE,ADVISORY TRUSTEE,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,2000,CHERYL O. CHASE,ADVISORY TRUSTEE,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,1999,GABRIELA C. CHASE,ADVISORY TRUSTEE,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,1999,"DERWOOD S. CHASE, JR.",REGULAR TRUSTEE,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,1999,JOHN C. GOODMAN,REGULAR TRUSTEE,JOHN C GOODMAN,JOHN,GOODMAN,C
CHASE FOUNDATION OF VIRGINIA,1999,STUART F. CHASE,REGULAR TRUSTEE,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,1999,JOHANNA B. CHASE,REGULAR TRUSTEE,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,1999,WALTER E. WILLIAMS,REGULAR TRUSTEE,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,1999,ALEJANDRO A. CHAFUEN,REGULAR TRUSTEE,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,1999,CHERYL O. CHASE,ADVISORY TRUSTEE,CHERYL O CHASE,CHERYL,CHASE,O
CHASE FOUNDATION OF VIRGINIA,1998,"DERWOOD S. CHASE, JR.",REGULAR TRUSTEE,DERWOOD S CHASE,DERWOOD,CHASE,S
CHASE FOUNDATION OF VIRGINIA,1998,STUART F. CHASE,REGULAR TRUSTEE,STUART F CHASE,STUART,CHASE,F
CHASE FOUNDATION OF VIRGINIA,1998,JOHANNA B. CHASE,REGULAR TRUSTEE,JOHANNA B CHASE,JOHANNA,CHASE,B
CHASE FOUNDATION OF VIRGINIA,1998,ALEJANDRO A. CHAFUEN,ADVISORY TRUSTEE,ALEJANDRO A CHAFUEN,ALEJANDRO,CHAFUEN,A
CHASE FOUNDATION OF VIRGINIA,1998,GABRIELA C. CHASE,ADVISORY TRUSTEE,GABRIELA C CHASE,GABRIELA,CHASE,C
CHASE FOUNDATION OF VIRGINIA,1998,WALTER E. WILLIAMS,ADVISORY TRUSTEE,WALTER E WILLIAMS,WALTER,WILLIAMS,E
CHASE FOUNDATION OF VIRGINIA,1998,JOHN C. GOODMAN,ADVISORY TRUSTEE,JOHN C GOODMAN,JOHN,GOODMAN,C
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,JENEE VELASQUEZ,EXECUTIVE DI,JENEE VELASQUEZ,JENEE,VELASQUEZ,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,MACAULEY WHITING JR,PRESIDENT,MACAULEY WHITING,MACAULEY,WHITING,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,MICHAEL LLOYD DOW,VICE PRESIDE,MICHAEL LLOYD DOW,MICHAEL,DOW,LLOYD
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,MARGARET E THOMPSON,SECRETARY,MARGARET E THOMPSON,MARGARET,THOMPSON,E
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,WILLARD MOTT,TREASURER,WILLARD MOTT,WILLARD,MOTT,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,RUTH A DOAN,ASSISTANT SE,RUTH A DOAN,RUTH,DOAN,A
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,STEPHEN CARRAS,TRUSTEE,STEPHEN CARRAS,STEPHEN,CARRAS,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,BONNIE BUCHANAN MATHESON,TRUSTEE,BONNIE BUCHANAN MATHESON,BONNIE,MATHESON,BUCHANAN
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,ALDEN LEE HANSON,TRUSTEE,ALDEN LEE HANSON,ALDEN,HANSON,LEE
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,DIANE DOW HULLET,TRUSTEE,DIANE DOW HULLET,DIANE,HULLET,DOW
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,SUZANNA MCCUAN,TRUSTEE,SUZANNA MCCUAN,SUZANNA,MCCUAN,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,DAVID CAMP,TRUSTEE,DAVID CAMP,DAVID,CAMP,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,HEATHER RIECKER KOCH,ASSOCIATE TR,HEATHER RIECKER KOCH,HEATHER,KOCH,RIECKER
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,TY ANDERSON,ASSOCIATE TR,TY ANDERSON,TY,ANDERSON,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2018,JAMES FITTERLING,TRUSTEE,JAMES FITTERLING,JAMES,FITTERLING,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,JENEE VELASQUEZ,EXECUTIVE DI,JENEE VELASQUEZ,JENEE,VELASQUEZ,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,MICHAEL LLOYD DOW,VICE PRESIDE,MICHAEL LLOYD DOW,MICHAEL,DOW,LLOYD
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,MACAULEY WHITING JR,PRESIDENT,MACAULEY WHITING,MACAULEY,WHITING,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,MARGARET E THOMPSON,SECRETARY,MARGARET E THOMPSON,MARGARET,THOMPSON,E
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,WILLARD MOTT,TREASURER,WILLARD MOTT,WILLARD,MOTT,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,RUTH A DOAN,ASSISTANT SE,RUTH A DOAN,RUTH,DOAN,A
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,STEPHEN CARRAS,TRUSTEE,STEPHEN CARRAS,STEPHEN,CARRAS,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,BONNIE BUCHANAN MATHESON,TRUSTEE,BONNIE BUCHANAN MATHESON,BONNIE,MATHESON,BUCHANAN
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,ALDEN LEE HANSON,TRUSTEE,ALDEN LEE HANSON,ALDEN,HANSON,LEE
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,DIANE DOW HULLET,TRUSTEE,DIANE DOW HULLET,DIANE,HULLET,DOW
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,SUZANNA MCCUAN,TRUSTEE,SUZANNA MCCUAN,SUZANNA,MCCUAN,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,DAVID CAMP,TRUSTEE,DAVID CAMP,DAVID,CAMP,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2017,VIRGINIA HALE HILLARD,ASSOCIATE TR,VIRGINIA HALE HILLARD,VIRGINIA,HILLARD,HALE
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2016,JENEE VELASQUEZ,EXECUTIVE DI,JENEE VELASQUEZ,JENEE,VELASQUEZ,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2016,MICHAEL LLOYD DOW,VICE PRESIDE,MICHAEL LLOYD DOW,MICHAEL,DOW,LLOYD
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2016,MACAULEY WHITING JR,PRESIDENT,MACAULEY WHITING,MACAULEY,WHITING,
THE HERBERT H. AND GRACE A. DOW FOUNDATION,2016,MARGARET E THOMPSON,SECRETARY,MARGARET E THOMPSON,MARGARET,THOMPSON,E
